00000 | X=FFFF Y=FFFF Z=FFFF | jmp      00062
000DA | X=0062 Y=0060 Z=F3B4 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3B4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3B4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3B6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3B6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3B6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3B6 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3B6 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3B6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3B6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3B8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3B8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3B8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3B8 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3B8 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3B8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3B8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3BA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3BA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3BA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3BA | brne     $00DA
000DA | X=0062 Y=0060 Z=F3BA | st       Z, r1
000DC | X=0062 Y=0060 Z=F3BA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3BA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3BC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3BC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3BC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3BC | brne     $00DA
000DA | X=0062 Y=0060 Z=F3BC | st       Z, r1
000DC | X=0062 Y=0060 Z=F3BC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3BC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3BE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3BE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3BE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3BE | brne     $00DA
000DA | X=0062 Y=0060 Z=F3BE | st       Z, r1
000DC | X=0062 Y=0060 Z=F3BE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3BE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3C0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3C0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3C0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3C0 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3C0 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3C0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3C0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3C2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3C2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3C2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3C2 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3C2 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3C2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3C2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3C4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3C4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3C4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3C4 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3C4 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3C4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3C4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3C6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3C6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3C6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3C6 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3C6 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3C6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3C6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3C8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3C8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3C8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3C8 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3C8 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3C8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3C8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3CA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3CA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3CA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3CA | brne     $00DA
000DA | X=0062 Y=0060 Z=F3CA | st       Z, r1
000DC | X=0062 Y=0060 Z=F3CA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3CA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3CC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3CC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3CC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3CC | brne     $00DA
000DA | X=0062 Y=0060 Z=F3CC | st       Z, r1
000DC | X=0062 Y=0060 Z=F3CC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3CC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3CE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3CE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3CE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3CE | brne     $00DA
000DA | X=0062 Y=0060 Z=F3CE | st       Z, r1
000DC | X=0062 Y=0060 Z=F3CE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3CE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3D0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3D0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3D0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3D0 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3D0 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3D0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3D0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3D2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3D2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3D2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3D2 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3D2 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3D2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3D2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3D4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3D4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3D4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3D4 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3D4 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3D4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3D4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3D6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3D6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3D6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3D6 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3D6 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3D6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3D6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3D8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3D8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3D8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3D8 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3D8 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3D8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3D8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3DA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3DA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3DA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3DA | brne     $00DA
000DA | X=0062 Y=0060 Z=F3DA | st       Z, r1
000DC | X=0062 Y=0060 Z=F3DA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3DA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3DC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3DC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3DC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3DC | brne     $00DA
000DA | X=0062 Y=0060 Z=F3DC | st       Z, r1
000DC | X=0062 Y=0060 Z=F3DC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3DC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3DE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3DE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3DE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3DE | brne     $00DA
000DA | X=0062 Y=0060 Z=F3DE | st       Z, r1
000DC | X=0062 Y=0060 Z=F3DE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3DE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3E0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3E0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3E0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3E0 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3E0 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3E0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3E0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3E2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3E2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3E2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3E2 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3E2 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3E2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3E2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3E4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3E4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3E4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3E4 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3E4 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3E4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3E4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3E6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3E6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3E6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3E6 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3E6 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3E6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3E6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3E8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3E8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3E8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3E8 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3E8 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3E8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3E8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3EA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3EA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3EA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3EA | brne     $00DA
000DA | X=0062 Y=0060 Z=F3EA | st       Z, r1
000DC | X=0062 Y=0060 Z=F3EA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3EA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3EC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3EC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3EC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3EC | brne     $00DA
000DA | X=0062 Y=0060 Z=F3EC | st       Z, r1
000DC | X=0062 Y=0060 Z=F3EC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3EC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3EE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3EE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3EE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3EE | brne     $00DA
000DA | X=0062 Y=0060 Z=F3EE | st       Z, r1
000DC | X=0062 Y=0060 Z=F3EE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3EE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3F0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3F0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3F0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3F0 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3F0 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3F0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3F0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3F2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3F2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3F2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3F2 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3F2 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3F2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3F2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3F4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3F4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3F4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3F4 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3F4 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3F4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3F4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3F6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3F6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3F6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3F6 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3F6 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3F6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3F6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3F8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3F8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3F8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3F8 | brne     $00DA
000DA | X=0062 Y=0060 Z=F3F8 | st       Z, r1
000DC | X=0062 Y=0060 Z=F3F8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3F8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3FA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3FA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3FA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3FA | brne     $00DA
000DA | X=0062 Y=0060 Z=F3FA | st       Z, r1
000DC | X=0062 Y=0060 Z=F3FA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3FA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3FC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3FC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3FC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3FC | brne     $00DA
000DA | X=0062 Y=0060 Z=F3FC | st       Z, r1
000DC | X=0062 Y=0060 Z=F3FC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3FC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F3FE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F3FE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F3FE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F3FE | brne     $00DA
000DA | X=0062 Y=0060 Z=F3FE | st       Z, r1
000DC | X=0062 Y=0060 Z=F3FE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F3FE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F400 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F400 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F400 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F400 | brne     $00DA
000DA | X=0062 Y=0060 Z=F400 | st       Z, r1
000DC | X=0062 Y=0060 Z=F400 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F400 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F402 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F402 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F402 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F402 | brne     $00DA
000DA | X=0062 Y=0060 Z=F402 | st       Z, r1
000DC | X=0062 Y=0060 Z=F402 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F402 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F404 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F404 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F404 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F404 | brne     $00DA
000DA | X=0062 Y=0060 Z=F404 | st       Z, r1
000DC | X=0062 Y=0060 Z=F404 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F404 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F406 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F406 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F406 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F406 | brne     $00DA
000DA | X=0062 Y=0060 Z=F406 | st       Z, r1
000DC | X=0062 Y=0060 Z=F406 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F406 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F408 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F408 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F408 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F408 | brne     $00DA
000DA | X=0062 Y=0060 Z=F408 | st       Z, r1
000DC | X=0062 Y=0060 Z=F408 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F408 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F40A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F40A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F40A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F40A | brne     $00DA
000DA | X=0062 Y=0060 Z=F40A | st       Z, r1
000DC | X=0062 Y=0060 Z=F40A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F40A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F40C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F40C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F40C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F40C | brne     $00DA
000DA | X=0062 Y=0060 Z=F40C | st       Z, r1
000DC | X=0062 Y=0060 Z=F40C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F40C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F40E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F40E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F40E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F40E | brne     $00DA
000DA | X=0062 Y=0060 Z=F40E | st       Z, r1
000DC | X=0062 Y=0060 Z=F40E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F40E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F410 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F410 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F410 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F410 | brne     $00DA
000DA | X=0062 Y=0060 Z=F410 | st       Z, r1
000DC | X=0062 Y=0060 Z=F410 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F410 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F412 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F412 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F412 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F412 | brne     $00DA
000DA | X=0062 Y=0060 Z=F412 | st       Z, r1
000DC | X=0062 Y=0060 Z=F412 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F412 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F414 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F414 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F414 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F414 | brne     $00DA
000DA | X=0062 Y=0060 Z=F414 | st       Z, r1
000DC | X=0062 Y=0060 Z=F414 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F414 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F416 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F416 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F416 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F416 | brne     $00DA
000DA | X=0062 Y=0060 Z=F416 | st       Z, r1
000DC | X=0062 Y=0060 Z=F416 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F416 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F418 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F418 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F418 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F418 | brne     $00DA
000DA | X=0062 Y=0060 Z=F418 | st       Z, r1
000DC | X=0062 Y=0060 Z=F418 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F418 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F41A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F41A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F41A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F41A | brne     $00DA
000DA | X=0062 Y=0060 Z=F41A | st       Z, r1
000DC | X=0062 Y=0060 Z=F41A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F41A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F41C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F41C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F41C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F41C | brne     $00DA
000DA | X=0062 Y=0060 Z=F41C | st       Z, r1
000DC | X=0062 Y=0060 Z=F41C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F41C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F41E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F41E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F41E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F41E | brne     $00DA
000DA | X=0062 Y=0060 Z=F41E | st       Z, r1
000DC | X=0062 Y=0060 Z=F41E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F41E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F420 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F420 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F420 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F420 | brne     $00DA
000DA | X=0062 Y=0060 Z=F420 | st       Z, r1
000DC | X=0062 Y=0060 Z=F420 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F420 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F422 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F422 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F422 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F422 | brne     $00DA
000DA | X=0062 Y=0060 Z=F422 | st       Z, r1
000DC | X=0062 Y=0060 Z=F422 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F422 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F424 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F424 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F424 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F424 | brne     $00DA
000DA | X=0062 Y=0060 Z=F424 | st       Z, r1
000DC | X=0062 Y=0060 Z=F424 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F424 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F426 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F426 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F426 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F426 | brne     $00DA
000DA | X=0062 Y=0060 Z=F426 | st       Z, r1
000DC | X=0062 Y=0060 Z=F426 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F426 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F428 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F428 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F428 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F428 | brne     $00DA
000DA | X=0062 Y=0060 Z=F428 | st       Z, r1
000DC | X=0062 Y=0060 Z=F428 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F428 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F42A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F42A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F42A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F42A | brne     $00DA
000DA | X=0062 Y=0060 Z=F42A | st       Z, r1
000DC | X=0062 Y=0060 Z=F42A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F42A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F42C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F42C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F42C | cpc      r31, r25
