00000 | X=FFFF Y=FFFF Z=FFFF | jmp      00062
000E4 | X=0062 Y=0060 Z=F00A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F00A | brne     $00DA
000DA | X=0062 Y=0060 Z=F00A | st       Z, r1
000DC | X=0062 Y=0060 Z=F00A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F00A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F00C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F00C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F00C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F00C | brne     $00DA
000DA | X=0062 Y=0060 Z=F00C | st       Z, r1
000DC | X=0062 Y=0060 Z=F00C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F00C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F00E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F00E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F00E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F00E | brne     $00DA
000DA | X=0062 Y=0060 Z=F00E | st       Z, r1
000DC | X=0062 Y=0060 Z=F00E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F00E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F010 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F010 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F010 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F010 | brne     $00DA
000DA | X=0062 Y=0060 Z=F010 | st       Z, r1
000DC | X=0062 Y=0060 Z=F010 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F010 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F012 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F012 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F012 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F012 | brne     $00DA
000DA | X=0062 Y=0060 Z=F012 | st       Z, r1
000DC | X=0062 Y=0060 Z=F012 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F012 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F014 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F014 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F014 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F014 | brne     $00DA
000DA | X=0062 Y=0060 Z=F014 | st       Z, r1
000DC | X=0062 Y=0060 Z=F014 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F014 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F016 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F016 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F016 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F016 | brne     $00DA
000DA | X=0062 Y=0060 Z=F016 | st       Z, r1
000DC | X=0062 Y=0060 Z=F016 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F016 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F018 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F018 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F018 | cpc      r31, r25
